python3 tools/bench.py tools/test_files/mail.jpg "chat button" -n 32 --sweep

GTA-1 L4:
=== SWEEP SUMMARY ===
concurrency  wall(s)  qps   p50(s)  p95(s)  p99(s)
1            65.29    0.49  2.045   2.063   2.081 
2            50.94    0.63  3.176   3.213   3.334 
4            44.06    0.73  5.492   5.752   5.992 
8            40.69    0.79  10.021  13.694  14.763
16           39.13    0.82  19.059  29.718  30.814

=== SWEEP SUMMARY ===
concurrency  wall(s)  qps    p50(s)  p95(s)  p99(s)
1            24.02    1.33   0.749   0.750   0.789 
2            13.11    2.44   0.819   0.820   0.825 
4            6.87     4.66   0.838   0.894   0.959 
8            3.79     8.44   0.879   1.052   1.111 
16           2.47     12.94  1.038   1.522   1.527
